

-------THE SECURE LOOP FRAME OUTPUT-------

Requested Action	: Analyse Secure Loop Frames
Generated on	: Thu Apr 14 19:17:39 2011
Line Number	      : 1
Time Slot Number  : 31
Sub Channel Number: 0
Direction         : R1(Receieved)

-----------------------------------------------------------------------------------------------------------------------
Date Time		Line&TS	Message Name
-----------------------------------------------------------------------------------------------------------------------
16:13:48.27902500 L1R1TS31SC0 ECHO          MSG
16:13:48.44899300 L1R1TS31SC0 ECHO          MSG
16:13:48.61946000 L1R1TS31SC0 ECHO          MSG
16:13:48.78892800 L1R1TS31SC0 ECHO          MSG
16:13:48.95889600 L1R1TS31SC0 ECHO          MSG
16:13:49.12836300 L1R1TS31SC0 ECHO          MSG
16:13:49.29833100 L1R1TS31SC0 ECHO          MSG
16:13:49.46829700 L1R1TS31SC0 ECHO          MSG
16:13:49.63826500 L1R1TS31SC0 ECHO          MSG
16:13:49.80823300 L1R1TS31SC0 ECHO          MSG
16:13:49.97820000 L1R1TS31SC0 ECHO          MSG
16:13:50.14766800 L1R1TS31SC0 ECHO          MSG
16:13:50.31763600 L1R1TS31SC0 ECHO          MSG
16:13:50.48760300 L1R1TS31SC0 ECHO          MSG
16:13:50.65757000 L1R1TS31SC0 ECHO          MSG
16:13:50.82753700 L1R1TS31SC0 ECHO          MSG
16:13:50.99700500 L1R1TS31SC0 ECHO          MSG
16:13:51.16697300 L1R1TS31SC0 ECHO          MSG
16:13:51.33694000 L1R1TS31SC0 ECHO          MSG
16:13:51.50690800 L1R1TS31SC0 ECHO          MSG
16:13:51.67787600 L1R1TS31SC0 ECHO          MSG
16:13:51.84634300 L1R1TS31SC0 ECHO          MSG
16:13:52.01631100 L1R1TS31SC0 ECHO          MSG
16:13:52.19227800 L1R1TS31SC0 ECHO          MSG
16:13:52.36974400 L1R1TS31SC0 ECHO          MSG
16:13:52.53621200 L1R1TS31SC0 ECHO          MSG
16:13:52.70568000 L1R1TS31SC0 ECHO          MSG
